id,age,wp,SPA,y,a
14,56,1,60,23129.7214859908,3848.791454286
14,57,1,60,24804.2367397565,4300.3681928805
14,58,1,60,24020.0034378666,4452.6437548377
14,59,1,60,24702.1590704996,4586.4059762325
14,60,1,60,32471.7108764045,4347.4948072429
14,61,0,60,0,6735.1185081889
14,62,1,60,30669.5156290505,357.4157330631
14,63,1,60,33516.779181216,5569.1692844519
14,64,1,60,34080.9371121288,8891.6004357315
14,65,0,60,0,13027.642689713
14,66,1,60,37969.4193633069,5138.4824682597
14,67,0,60,0,10040.4544338102
14,68,0,60,0,2211.4542233439
14,69,1,60,34239.6421706376,337.6396413752
14,70,0,60,0,7780.5952341028
14,71,0,60,0,2615.1611600774
14,72,0,60,0,938.2065912983
14,73,0,60,0,387.1629922889
14,74,0,60,0,307.9605910137
14,75,0,60,0,359.4053104816
15,52,1,60,22380.1789208716,4421.1102806898
15,53,1,60,24214.4986693213,5397.0547003448
15,54,1,60,23042.4997901841,5604.8641483437
15,55,0,60,0,5867.0846139711
15,56,1,60,22685.1214087747,254.2264220276
15,57,1,60,21028.2925118021,1714.1764948227
15,58,1,60,21020.9136109525,5343.6649659979
15,59,0,60,0,6380.6694911056
15,60,0,60,0,282.8649862423
15,61,0,60,0,254.4448531932
15,62,0,60,0,253.822966012
15,63,0,60,0,253.8130252232
15,64,0,60,0,253.81286632
15,65,0,60,0,253.8128637793
15,66,0,60,0,316.4544841163
15,67,0,60,0,317.4558026747
15,68,0,60,0,317.4718086239
15,69,0,60,0,317.4720644774
15,70,0,60,0,317.4720685675
15,71,0,60,0,317.472068633
15,72,0,60,0,317.4720686316
15,73,0,60,0,317.4720686317
15,74,0,60,0,317.4720686318
15,75,0,60,0,317.472068633
16,52,1,60,26932.9977826818,6445.8594911358
16,53,1,60,25418.4491591172,6791.6778204155
16,54,1,60,23518.0035161852,5738.1389759901
16,55,1,60,24798.0336910277,5949.8975557329
16,56,1,60,25144.7182197424,6057.4120366679
16,57,1,60,25519.6458617007,6171.2294322266
16,58,1,60,25212.6625246982,6173.1178693885
16,59,1,60,28531.8345836571,5952.5829597031
16,60,1,60,32426.8105180011,4694.2088810014
16,61,0,60,0,6933.6949497922
16,62,1,60,32239.9982269574,360.5899529284
16,63,1,60,33693.655301393,4834.2168632006
16,64,1,60,32617.4317415764,8083.8516554781
16,65,0,60,0,10041.6790748899
16,66,0,60,0,7263.7792258066
